time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-07T00:55:10.910Z,38.821167,-122.7663345,1.63,1.51,md,25,49,0.009702,0.04,nc,nc72950001,2018-01-07T01:56:03.335Z,"4km W of Cobb, CA",earthquake,0.18,0.35,0.17,8,automatic,nc,nc
2018-01-07T00:45:25.730Z,33.562,-116.6616667,10.55,0.52,ml,22,79,0.01588,0.13,ci,ci37848247,2018-01-07T00:49:00.792Z,"1km NE of Anza, CA",earthquake,0.24,0.36,0.15,18,automatic,ci,ci
2018-01-07T00:42:25.080Z,18.8074,147.0153,35,5,mb,,97,3.735,0.75,us,us1000c1lj,2018-01-07T01:09:36.040Z,"142km E of Agrihan, Northern Mariana Islands",earthquake,11.8,2,0.064,79,reviewed,us,us
2018-01-07T00:37:34.450Z,39.4033,-117.7013,14.6,1.4,ml,6,154.36,0.35,,nn,nn00617355,2018-01-07T00:39:06.339Z,"55km W of Austin, Nevada",earthquake,,,,,automatic,nn,nn
2018-01-07T00:32:53.500Z,-24.1349,-67.353,214.66,4.4,mb,,68,1.4,0.8,us,us1000c1l6,2018-01-07T00:50:15.040Z,"105km W of San Antonio de los Cobres, Argentina",earthquake,9.8,10.9,0.239,5,reviewed,us,us
2018-01-07T00:29:30.622Z,62.2334,-148.0337,21.4,1.8,ml,,,,0.62,ak,ak17964410,2018-01-07T00:35:17.912Z,"64km NE of Sutton-Alpine, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-01-06T23:58:32.380Z,-23.8358,-179.7629,532.11,4.6,mb,,99,5.631,1.37,us,us1000c1kj,2018-01-07T00:25:08.040Z,"South of the Fiji Islands",earthquake,11.3,8.2,0.051,115,reviewed,us,us
2018-01-06T23:36:06.510Z,19.4838333,-155.4456635,1.41,2.13,ml,31,51,0.04687,0.19,hv,hv70008002,2018-01-06T23:41:39.240Z,"22km WNW of Volcano, Hawaii",earthquake,0.33,1.38,4.14,5,automatic,hv,hv
2018-01-06T23:31:03.870Z,36.5158,-99.1891,5,2.6,mb_lg,,80,0.203,0.86,us,us1000c1kb,2018-01-07T04:40:55.717Z,"8km N of Mooreland, Oklahoma",earthquake,2.1,1.9,0.102,25,reviewed,us,us
2018-01-06T23:23:44.130Z,37.5748329,-118.8391647,1.67,1.84,md,17,191,0.01714,0.04,nc,nc72949956,2018-01-06T23:54:03.782Z,"14km W of Toms Place, CA",earthquake,0.43,0.45,0.26,12,automatic,nc,nc
2018-01-06T23:21:56.300Z,33.51,-116.795,3.98,0.75,ml,27,37,0.07332,0.16,ci,ci37848215,2018-01-06T23:25:27.357Z,"10km NE of Aguanga, CA",earthquake,0.2,0.57,0.096,22,automatic,ci,ci
2018-01-06T23:14:54.609Z,38.1249,-118.8633,8.1,0.8,ml,9,166.75,0.09,0.1337,nn,nn00617354,2018-01-07T00:31:59.582Z,"35km ESE of Bridgeport, California",earthquake,,9.4,0.2,3,reviewed,nn,nn
2018-01-06T22:56:57.820Z,17.715,94.3801,35.14,4.1,mb,,185,4.402,0.55,us,us1000c1k1,2018-01-06T23:31:44.040Z,"109km NNW of Pathein, Burma",earthquake,4.6,10,0.234,5,reviewed,us,us
2018-01-06T22:50:50.804Z,36.8587,-116.7431,2.9,0,ml,8,65.67,0.114,0.1452,nn,nn00617352,2018-01-07T00:25:48.597Z,"5km SSE of Beatty, Nevada",earthquake,,8.8,0.37,5,reviewed,nn,nn
2018-01-06T22:27:32.012Z,38.1698,-117.5276,7.6,0.8,ml,13,108.08,0.157,0.1737,nn,nn00617338,2018-01-06T23:57:56.704Z,"28km WNW of Tonopah, Nevada",earthquake,,5.6,0.29,6,reviewed,nn,nn
2018-01-06T22:22:10.800Z,19.3360004,-155.2185059,5.14,1.76,md,41,67,0.03769,0.14,hv,hv70007937,2018-01-06T22:25:30.870Z,"10km S of Volcano, Hawaii",earthquake,0.42,0.62,0.22,22,automatic,hv,hv
2018-01-06T22:21:13.311Z,38.3027,-118.6857,11.8,0.6,ml,6,219.17,0.151,0.0791,nn,nn00617350,2018-01-07T00:10:18.179Z,"25km SSW of Hawthorne, Nevada",earthquake,,7.6,0.6,4,reviewed,nn,nn
2018-01-06T22:03:04.950Z,33.3703333,-117.174,0.47,1.74,ml,9,150,0.152,0.19,ci,ci37848191,2018-01-06T22:06:51.998Z,"7km E of Fallbrook, CA",earthquake,0.88,31.61,0.409,20,automatic,ci,ci
2018-01-06T21:55:11.120Z,19.4468327,-155.8988342,3.46,1.99,md,18,166,0.04435,0.24,hv,hv70007897,2018-01-06T21:58:20.490Z,"3km WSW of Honaunau-Napoopoo, Hawaii",earthquake,0.68,1.76,0.08,5,automatic,hv,hv
2018-01-06T21:51:36.297Z,36.4344,-117.058,4.2,0.6,ml,13,200.09,0.16,0.1351,nn,nn00617334,2018-01-06T22:22:21.998Z,"59km SSW of Beatty, Nevada",earthquake,,3.7,0.33,7,reviewed,nn,nn
2018-01-06T21:03:38.540Z,34.319,-116.4415,6.98,1.64,ml,25,60,0.05598,0.18,ci,ci37848175,2018-01-06T21:14:55.270Z,"23km N of Yucca Valley, CA",earthquake,0.29,0.85,0.131,27,automatic,ci,ci
